"id","profileName","text","date","title","rating","images","helpful","variant:"
"R1HV0O7Q9M36FN","WF","First, I just want to say thank you for allowing multiple chapters in your free kindle preview! I get so frustrated when I go to buy a new score (music) book. Just this week I purchased a Halloween easy piano book. It only shows the cover and the index. Now one is going to steal any music if you show two or three pages of different scores. But, it lets me know if I've at the level to be able to play it. Which brings me to this book. I have many beginner Python books. I wanted to teach a friend python and couldn't really recommend a book. On Kindle, I saw this had a free preview. If it didn't I wouldn't have purchased this book. But, it had I think four free chapters. I read chapters two and three. And was hooked. Now...I am compltely paperless. I do everything by PDF. However, I'm a book person. I like having a physical book. I've tried e-books but it's just not the same. I ordered the paper book and while it was shipped I was able to keep reading thanks to the free preview.The book is awesome. If you have NO programming background at all. This book is definitely for you. And it's written to where you can understand it with real-world examples that are relatable. I have many of the De-Mystifying books from McGraw. What some of those authors were thinking...I have no idea. The real-world example they give are not relatable to a normal human.This book will get you quickly up-to-speed and programming in Python! It really is a crash course that people can understand!Thanks for writing such a great book! I really enjoyed it!","Reviewed in the United States on August 20, 2020","I have a whole bookshelf on Python books. Hands down the best book for beginners!","5.0 out of 5 stars","","4",
"R2ADM3NJ38D25P","William Conway","OK . . . .there are more than 4,000 reviews on this book, but I wanted to put my 2 cents in. The book is awesome and I'm only two chapters in . . .but seriously!!!!!! The Sublime Text editor the book has us downloading is weak. Now, you might have to register and pay for the service . . . .My copy said UNREGISTERED in bold letters at the top . . . .I'm not paying money for that thing and realized there are so many text editors/compilers you can get . . . I went out and used programiz.com. Now, you have to place code in your web browser. . . . and I'm not sure how objects will be affected . . . .but I was so relieved to find that all my source code worked!!!! The url is programiz.com/python-programming/online-compiler . I feel great and the book is wonderful . . . .but that sublime text editor has to go . . . .I downloaded Code::Blocks for my c++ coding . . .and that thing was a beast . . .tons of information and the compiler looks solid . . . .but this sublime bull text editor is so measly . . .I have no idea how 4,000 people survived without freaking out the way I did . . . .so, if you're living in 2021 using Python Crash Course by Eric Matthes . . . .you might need a better compiler . . .I'm just saying . . . .","Reviewed in the United States on April 22, 2021","Get a new IDE/compiler","4.0 out of 5 stars","","0",
"RS5Q1P6U4VAMJ","John","This book does all it can to make programming formidable and boring. It's not concise. It's too wordy.Most of it is filled with explanations and vanilla examples that just is not very enlightening.It's first chapter ""getting started"" will make you never start.Reading the first chapter, I decided not to read any further. Then my friend came along and did all that was intended in the chapter in less than a minute. The book spends a whole chapter on what can be done in a minute. I'm sure it meant well, but it is excessively full of explanations that are not relevant, and stuff that will just make the beginners crap.(Do beginners really have to know anything about Python 2? Or the difference between Python 2 and 3? Seriously? If not, why did you put it on the very first chapter?)It just doesn't get any better in the later chapters.This is a passage from Chapter 2:""When an error occurs in your program, the Python interpreter does itsbest to help you figure out where the problem is. The interpreter providesa traceback when a program cannot run successfully. A traceback is a recordof where the interpreter ran into trouble when trying to execute your code.Here’s an example of the traceback that Python provides after you’ve accidentallymisspelled a variable’s name ... ""WTF.If the book was intended for beginners - can't understand. If the book was intended for developers familiar with other languages - too verbose.----------------------------------------------------------------------<updated later>Actually, now that I'm beyond the very very early phase, this book is pretty fun to read. And quite helpful.I've been going back and forth between three introductory books, but this is the one that I actually find most enjoyable and helpful.Sorry about the earlier comment, but I think few points are still valid.","Reviewed in the United States on November 4, 2019","Changing the rate","4.0 out of 5 stars","","7",
"R13Z1BSD70DMKJ","Dan","Have had this for one day and the cover is already coming off. Nothing a little glue won’t fix, and that’s the downside of paperbacks that you have to put weight on to keep closed, in my opinion.BUT the inner content is well worth it. I’ve been wanting to learn programming for years but have often gone away discouraged because the tutorials and teachers randomly start throwing complicated problems at you out of nowhere.Not so with this book. It eases you into each topic, breaks it down very clearly, and has exercises throughout that you can follow along with. Make sure you follow along! There are specific exercises throughout, but I highly recommend typing out the example code and playing around with it/experimenting on your own as well. Then by the time you get to the exercises you’ll have a good idea about how to approach it.STICK WITH IT! I decided I wanted to learn to program 10 years ago! I would start for a week and then quit when it got too complicated and felt overwhelming. Then I’d come back to it a few years later, and same thing. Then it hit me one day, “If I had pushed through the first time and been patient, I’d have 10 years of experience as a programmer right now. Do I want to look back in another 10 years and feel that way again? Or do I want to push through this time so in 10 years I’ll actually have the experience under my belt!?”Easy answer!Stick with it. Be patient with yourself if things get too complicated or you “feel too dumb” to get it. If you hit a block, go back a few pages and go through it again. Everyone is selling “learn ____ quick!” books these days. It’s a good way to get random chunks of knowledge but a terrible way to master it. So be patient!And get this book. :). It makes things very simple to understand and really holds your hand through everything.","Reviewed in the United States on July 5, 2019","Great inner content! Not that great outer quality. Still worth it!","4.0 out of 5 stars","","342",
"R14971TRELU9XD","Diana","Bought this book (actual paper copy and no I didn't have any issues with the binding) in July to prepare for an intro to python course for school that started in Aug. I got through the book in about 6 weeks (balancing work and personal life) and it is totally do-able. This book prepared me for the basics that were covered in class and allowed me to think outside the box when it came to discussions. The book truly gave me the confidence that I believe I would have not had otherwise. You do not need to know any fancy terminology or have ANY idea on how to create a programming environment. The book guides you through the entire process (creating a programming environment, downloading packages, etc)  and you can find the solutions to the problems online, the author gives you the URL to the github site so you can check your work. There is an online Python subreddit that the author checks and will respond to your PCC questions as well.$20 or so dollars, totally worth it!","Reviewed in the United States on October 22, 2022","Buy it! Thank you PCC!","5.0 out of 5 stars","","10",
"R1E5M1YLM2FZSP","idontwanttomakeone","My background is in JS, so I was looking for something that would both help me navigate installing Python3, learning the language syntax and differences in rules, and delve a little deeper in classes & objects.So far, it's clear that this is set up for absolute beginners, and I wouldn't call it a ""crash"" course. It's extremely thorough about walking you through common syntax errors you'll probably make on your own. I do like that it encourages you to play with breaking the code, which is absolutely necessary for learning how to code, but it's a little hand-holdy. I was expecting the guidance to loosen up as you went on, but as of chapter 6 out of the 11 chapters that introduce the topics, it's still very sheltered.I'd suggest people wanting a little more challenge/for things to stick a little longer read the first ""A Simple ___"" section whenever a topic is introduced, then jump to the exercises. See what you can accomplish there just from seeing the example code, and if you run into trouble, then go back through all of the ""how to do this exact thing"" stuff.Using the book this way, it's been a great reference book, and a quick read. I wish more complex ideas were introduced earlier, like conditionals/loops, so that the exercises could introduce more problem-solving than you can get with just print earlier, but I'm looking forward to the projects section.Oh, and yeah the binding did pop off on day 1. But it was super clean, so I just dabbed some rubber cement on the spine. It's not a big deal.","Reviewed in the United States on May 13, 2020","Binding does pop off. Definitely for people with zero code experience, but still a great reference.","4.0 out of 5 stars","","2",
"RE3912EP40R13","Michael Baudendisel","I tried learning Python using youtube videos but was unable to find a class that did a good job of explaining the basics for absolute beginners. Decided to give this book a shot and it was a night and day difference. I think those videos would be a good follow up AFTER I finish this book, but this is the perfect place to start.Well, almost perfect. The reason I'm giving it 4 instead of five stars is that it lacks the answers to the exercises presents. During the preamble of the book, it basically says ""google the solutions."" I'm not happy with that. Answers to the exercises should be provided somewhere in the back of the book. Would be nice to confirm that I did an exercise the way the teach (author) intended. I've tried googling the answers and had a hard time finding anything definitive. If the book actually contained the answers to the exercises, then this book would be 100% perfect, but as is, it's ""almost"" perfect. If you want to learn Python, this is the book you're looking for.","Reviewed in the United States on May 8, 2022","Fantastic Resource For Beginners - Skip the Youtube Videos, Start With This","4.0 out of 5 stars","","3",
"RMJ0JHCKZWGOY","Noah Benedict","i have a very hard time with reading and comprehension. most text books or educational materials are super hard for me to read due to various disabilities. i have wanted to learn how to program for a very long time, but i was intimidated by most texts and felt discouraged that someone with these issues could never learn to programbut this book is amazing. its formatted well to be informative but accessible, it explains things well and the project-based learning is awesome. ive only spent a few days reading it but ive already learned so much, when it usually takes me weeks to get where i am with only half as much comprehension. you can tell the author knows how intimidating it looks to a lot of people who dont know the first thing about coding languages, because they have explained it in a way that i could grasp immediately.if youre looking to learn Python, i would recommend this book 100000%. i hope this author has other books on different programming languages, because if this is how they wrote Python, ill definitely read the others.10/10, amazing, im enjoying learning through this method so much. its not easy learning a language for the first time- but this books helps you work through the difficulties through small projects and encouraging readers to make errors to see what errors look like, and what fixes them","Reviewed in the United States on November 19, 2020","An Excellent Introduction","5.0 out of 5 stars","","2",
"R3T6YNYI8N904T","Diego","The book's simple explanations of code, end-of-chapter challenges, and various projects throughout it got me hooked on programming and the problem solving that coexists with it. This book doesn't just teach you the basics of programming, it guides your critical thinking to begin viewing problems differently through engaging examples that ignite your curiosity. You stop thinking like ""how would I even keep track of people's pizza orders?"" And begin thinking like ""wouldn't it be cool if I could make a list of pizza orders and the most efficient distribution of resources?????"". The lessons I learned in this book made me love challenges and reignited my love for puzzles and math. Best book I have read (and done all the activities within). Recommend to all.","Reviewed in the United States on August 5, 2023","Only Book I Will Write a Review for","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71BMeHsfGJL.jpg","6",
"R3A8P4T32WC2IB","Patrick Hoang","It took me some time to get around to learn Python scripting, but so far it is simple and straight forward in how to program in Python.  If you want to get in further depth, it would definitely be good to check out O'Reillys books for Python as they are more in depth technically(have not used it, but my coworker has told me so).Reason why I am giving it 4 stars instead of 5, is due to the simplicity of the practice problems and wording.  I wish it was more challenging and utilizes the previous chapters we learned and continues to implement it in the current chapters, as an ongoing and repetitive learning.  If the author followed the practice problems ""C Programming Language"" by Dennis M. Ritchie and Brian W. Kernighan(very good C programming book by the way), then it would definitely be more challenging and allow the person to think and be more creative.  The problems the author gives are okay, but I used them to think of more creative things.Definite good investment in having a physical copy, reading it and going through the book and examples.  But please do your best to also make problems that you wish to solve and implement from what you learned through this book.","Reviewed in the United States on October 17, 2020","Great start for Beginners in Programming and Python! But Needs Better Practice Problems.","4.0 out of 5 stars","","0",
"R14GQF7GNE9C1V","Marcos","I am 8 chapters in and so far all my expectations have been exceeded. The book is very well organized and assumes the reader is starting from virtually zero programming experience. If you've got an analytical mind and love solving problems, you'll be okay. I have a lot of experience in Excel where some of the longer formulas indeed feel like mini-programs, so certain things in coding like variables, Boolean expressions (True/False) were already familiar.I would strongly recommend trying to work through the exercises on your own before peeking at the solutions on the website. I know it's tempting, and it may take 30, 45 minutes or more to figure it out, but when you do it's a marvelous feeling!I've read comments that the book is poor quality and comes apart at the spine, but so far that has not been my experience. Possibly it happens down the road but right now, after 3+ days with it opened on my desk, it's holding up fine.Big recommend!!UPDATE: Unsurprisingly, given how many others had the same problem, the spine of my book came apart this morning. It's an easy fix w/ some glue, but it's disappointing that the physical quality is this poor. No Starch needs to do better.","Reviewed in the United States on October 29, 2020","Exactly what I was looking for! [UPDATED]","5.0 out of 5 stars","","0",
"R3L1QSZE649ROB","Chris Paschen","This book was great. We used it for a 1 semester intro to programming course with high school students.The only issue was that I tried to cram both the main content and one of the extra projects at the end all into one semester, which was too much.There are a couple chapters that cover more than one topic that really should be broken up into individual weeks.We're still going to use the book, but do it over an entire year, and use some supplemental No Starch Press Python books to fill the extra weeks.NOTE: The one area that this book doesn't cover is creating GUI interfaces. So we will use other sources for that at the end of this book in the future.ALSO: Student all had VERY strong praise for this book. Well written and well designed.","Reviewed in the United States on July 10, 2022","Great, but don't try to CRAM the Crash Course","4.0 out of 5 stars","","10",
"R1YU6UFD773V9J","Ernest Pergrem","I recently completed the ""Automate the Boring Stuff"" class online and wanted some more practice.  Although this book covers some of the same items as the class there is enough new, combined with the projects to make the journey worthwhile.","Reviewed in the United States on February 20, 2024","Simply Excellent","5.0 out of 5 stars","","0",
"R24SM6WHGB0Z5N","Johnston ","First: This book has a LOT of Information. The format is broken down in a way that makes it easy as a newbie gettig into Python. It covers more things than I originally anticipated. It's one of the few books(6) I originally purchased when getting into the Python Language. It also remains my favorite in starting out. For some reason a lot of ""beginner's"" books about SQL, C++, Python Ect seem to either assume you somehow already know how to code or project the feeling your 4yrs old. This book is NOT that. It's a prefect balance imo and even though I now have moved on, I still find myself referring back to it every once in a while. Starts out with how to install, how to code, make your own game within Python more. Best book I've bought that got me into learning  hands down.","Reviewed in the United States on April 18, 2022","More Information than Expected","4.0 out of 5 stars","","0",
"RTNUHQUQTFOHF","Dirk Bullock","Good introduction to Python.  Great projects too as examples of software development.","Reviewed in the United States on January 6, 2024","Good Book for Python.","4.0 out of 5 stars","","0",
"R3R3CK4OPC66DW","Paul","Learning made easy","Reviewed in the United States on May 18, 2024","Excellent and informative","5.0 out of 5 stars","","0",
"R1WMNIBWNS9VPE","M.M","I purchased this book and quickly dived into it.  I am on halfway into chapter 5 and am surprised at how fun it is to learn Python.  The explanation to code and how it works is easy to understand.  I like the mini Try It Yourself within the chapter or towards the end, where you get to try out what you learned.  If you get stuck, a simple Google search will help you further expand your knowledge.  I am enjoying learning Python at my own pace.  I needed it this for work and it is helping tons!  If you are looking for a new program to learn or just want to advance your knowledge, pick up this book.  I am also teaching my 10-year old daughter how to program in Python.  She understood the concepts and explanations well enough to do what the book says on her own.  This book is not hard.  Dedicate 1 hour a day and YouTube or Google some issues if you get stuck.","Reviewed in the United States on May 18, 2021","Python is easy to learn with this book","5.0 out of 5 stars","","2",
"R25FZRMRXP1UR9","Amazon Customer","For a start, the cover falls off. That seems to have happened to other readers.  At least it makes it easier to keep the book open at the page you are reading while using your other two hands on the computer keyboard. The instructions on how to complete the installation of Python and Sublime Text so they would work together was not clear enough for me – I had to get help before I could make anything work. But then, progress through the chapters seems slow, especially if you are going to do all the exercises: The explanations are clear enough but I kept on wanting to look ahead to find out how to do something the book hadn't got to yet, and this is where I found the most frustrating inadequacy: the index is not helpful enough. If you want to find out how to copy a list to a file, for example, you won't find  any reference to that in the index.  Searching the internet is much more productive. Perhaps I was looking for a reference book rather than  ""crash course"". I needed the book but it didn't work as a crash course for me. It might for somebody with more patience.","Reviewed in the United States on September 16, 2019","Written with the best of intentions, but falls a bit short","4.0 out of 5 stars","","0",
"R3F4RKY4FXOKA1","Amazon Customer","filled with examples of programs","Reviewed in the United States on May 1, 2024","to learn python programing language","5.0 out of 5 stars","","0",
"REV2GMINGKTXI","Ray Elkins","I’ve tried to learn Python off and on for the last 4 years. Each time I was discouraged by the content I was using to learn. Everyone seems to want to teach Python like it’s Algebra. I hated Algebra and never got higher than a ‘C’ in it. Because my new role can really make use of learning a programming language, I thought what the hell. I bought this book expecting it to be collecting dust by chapter 2. I was wrong. I have covered 1.5 chapters each week for the last 7 weeks. It is quite evident that the author is a teacher because he understands that well thought out examples make a difference. No Algebraic expressions here…just really fun, real world examples to work on. I have confidently went from zero to hero. This book, if used appropriately, can take you to a comfortable intermediate level (250-300 level). I’m now teaching fundamentals to new learners.","Reviewed in the United States on September 16, 2021","Everything I was Looking For","5.0 out of 5 stars","","0",
"R24OQN4Y61721N","Bill","This book is great! It immediately has you working in Python and each exercise builds from the last one. This book is so far has easily taught basic concepts of coding in general. The only thing I would suggest is to introduce commenting right after the Hello World exercise, I was already familiar with commenting so I added them as I did the exercises. So that's really my only bit it criticism so far with this book.I'm only on chapter 4 but so far I love this book. I use this book with PyCharm and have a much better understanding of code now more than ever. Each chapter has interactive lessons and exercises to do based on those lessons through the chapter. Excellent book.","Reviewed in the United States on April 3, 2022","Great book","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61xdYUNzWZL.jpg","3",
"R2J2C1I36H2HQ","Luis","This book gave me functional Python3 knowledge after about a month of studying and following along. I’ve not yet finished the projects but look forward to doing so. The author is great at explaining concepts and does it in a very well thought out order. The practice problems are just independent enough to be challenging and it does not at all feel like your hand is being held the whole time. Be advised, there is a 3rd edition of this book out now. Not much of a difference but this is not the latest edition anymore.","Reviewed in the United States on January 15, 2023","Hand down best Python book for beginners!","5.0 out of 5 stars","","5",
"R33GDCHX0RNUVV","Jenna","Everything was well thought out and explained.Gave me a great refresh and a great foundation for Python.I should mention that I plan to go bank into the workforce after 9+ years. I have prior coding in my background and lots of SQL & stored procedures (Teradata) in my background.My only complaint is the same as many reviewers said about the binding. Couldn't hold it open to get the exercises at the end of the chapters done. Decided to spend the $8 and get it spiral-bound at Staples. Well worth it!I wonder if the author and publisher could consider selling it this way (as an option) since most of his customers are serious about learning!Thanks Again!","Reviewed in the United States on April 7, 2022","Learning the Basics Quickly","5.0 out of 5 stars","https://m.media-amazon.com/images/I/71cmrgCQdQL.jpg","4",
"R3H1FPFXBDBTX1","Ian Knott","It will guide you well, and you will learn. I am almost done with the book, and it has exceeded my expectations. If you are a person who learns better with a physical object, I would recommend buying books for your learning process. I have been doing Codecademy pro, udemy, and many other online tools, but this one is it I can now write my own code without using the internet to figure it out. It isn't just a guide on how to build something (though it does have that) it teaches you the syntax and proper format. Make sure you do every programming example and read through each of them to better understand. Also, try all the project ideas they have inside. If this book doesn't work for you attend a community college course on intro to programming or something. But I am sure you will get it once you read this book!","Reviewed in the United States on May 11, 2021","Get it!","5.0 out of 5 stars","","2",
"R2RTR1M0Z4GIC4","B Sherwood","I am not brand new to programming entirely, but my experience with programming was in C++ over a decade ago.  I have always had a desire to learn to program because why not learn to speak another language that is so useful.  Well this book even though I have only had it for a few days now is amazing.  I have tried learning with the immense amount of YouTube videos out there and have quickly been side tracked.  I like this book because it provides structure to my learning.  I am able to have a ""lesson plan"".  I guess it is kind of old school of me to want a textbook to learn from, but what can I say if it works, it works.  This book is well laid out and easy to understand.  I like that it has been recently updated, which is helpful to be on the same update of python as the book. All together very pleased so far and will continue to use more books by this publisher.","Reviewed in the United States on September 26, 2019","What a Great place to Start","5.0 out of 5 stars","","0",
"RU5ZPHG13VW0H","Leeber Cohen","There are numerous positive reviews of this text as a excellent learning tool for Python. The code for the longer excercises can all be downloaded from the  publisher's website. This is particularly wonderful for the long projects particularly the Space Alien Game. If you are interested in math and statistics you will need to supplement this text with other publications. Math Adventures with Python and Doing Math with Python  from the same publisher were fun. However, the math is at pretty at high school level.  The Math Adventures with Python uses Processing graphics software which  several reviewers were not happy with. I hope to explore other publications and review them as I go. I would mention that I a am using Anaconda with Python 3.8 for the crash course. Matplotlib and several over libraries  are easily called without any  Path issues. Python Crash Course is a wonderful text and the author strongly deserves our thanks for the dedication and preparation involved.","Reviewed in the United States on November 11, 2020","Wonderful tool. Not enough math and physics,","5.0 out of 5 stars","","0",
